id,speaker,text,next_id,choice_key,flag_required
D_ACT1_001,Narrator,"Ash falls like snow. Solhaven's bells ring—not for celebration, but warning.",D_ACT1_002,,
D_ACT1_002,Narrator,"On the horizon, Black Stone Ruins breathe a faint crimson light. The seal is waking.",D_ACT1_003,,
D_ACT1_003,Player,If the stories are true... the King of Diablo isn't a monster. He's a crown with a will.,D_ACT1_004,,
D_ACT1_004,Narrator,Day 1 begins. You have 5 rounds today. Every step costs time.,,,
D_AIRI_001,Airi,You. You're heading to the ruins. Don't deny it.,D_AIRI_002,,
D_AIRI_002,Player,And you are?,D_AIRI_003,,
D_AIRI_003,Airi,Lady Airi Valen—strategist to the crown. I need someone honest... and disposable.,D_AIRI_004,,
D_AIRI_004,Airi,"If the seal breaks, politics won't matter. Until then, politics is the only shield we have.",D_AIRI_005,,
D_AIRI_005A,System,[Choice] Support the Crown.,D_AIRI_006,support_crown,
D_AIRI_005B,System,[Choice] Expose the Truth.,D_AIRI_006,expose_truth,
D_AIRI_005C,System,[Choice] Stay Silent.,D_AIRI_006,stay_silent,
D_AIRI_006,Airi,Good. Then we understand each other. I'll accompany you—officially as an observer.,D_AIRI_007,,
D_AIRI_007,System,[Party] Lady Airi Valen joined your party.,,,
D_RUINS_001,Narrator,The ruins gate is sealed with cracked runes. Something inside is pushing outward.,D_RUINS_002,,
D_RUINS_002,Airi,"The court wanted this hidden. If people see fear, they will create panic faster than demons.",D_RUINS_003,,
D_RUINS_003,Player,Then we stop it here.,D_RUINS_004,,
D_RUINS_004,Narrator,"From the rubble, goblin scouts emerge—moving like soldiers, not scavengers.",D_RUINS_005,,
D_RUINS_005,Narrator,(Battle should trigger here in code: goblin scouts),,,
D_POST_001,Airi,Goblins—organized. They move like they're obeying orders.,D_POST_002,,
D_POST_002,Player,Meaning Diablo isn't just waking. He's already ruling.,D_CAMEO_SF_001,,
D_CAMEO_SF_001,Narrator,A shadow cuts through the ash. A man stands in the road—alone—holding a halberd too heavy for reality.,D_CAMEO_SF_002,,
D_CAMEO_SF_002,Supreme Fighter,You fought well.,D_CAMEO_SF_003,,
D_CAMEO_SF_003,Player,Who are you?,D_CAMEO_SF_004,,
D_CAMEO_SF_004,Supreme Fighter,"A consequence. If Diablo rises, I will end him. If I fall, the world will learn fear with its own hands.",D_CAMEO_SF_005,,
D_CAMEO_SF_005,Airi,That weapon... Heavenbreak. The legend is real.,D_CAMEO_SF_006,,
D_CAMEO_SF_006,Supreme Fighter,Do not chase legends. Chase tomorrow. Ash makes cowards of kings.,,,
D_SHRINE_001,Narrator,The shrine is quiet. The priest has fled. A single candle burns without wind.,D_SHRINE_002,,
D_SHRINE_002,Airi,If we survive... promise me something.,D_SHRINE_003,,
D_SHRINE_003,Player,What?,D_SHRINE_004,,
D_SHRINE_004,Airi,Don't let the kingdom become a tool. Not for demons... and not for heroes.,,,
D_ACT2_001,Narrator,Day 4. The ash thickens. The king's messengers stop returning.,,,flag_act2_started
D_ACT3_001,Narrator,Day 8. The Crimson Eclipse begins. Every shadow looks like a doorway.,,,flag_act3_started
D_ACT4_001,Narrator,Day 13. The path to Diablo’s realm opens. The air tastes like iron and vows.,,,flag_act4_started
